user_id,user_group,feedback_id,timestamp_utc,module,scenario,meeting_duration_seconds,llm_used
114,GROUP_006,218,2026-08-01 13:22:58,act,scenario17,192.993247,HAL
114,GROUP_006,217,2026-08-01 13:17:42,act,scenario19,203.878303,GPT-4o-mini
114,GROUP_006,216,2026-08-01 13:11:30,act,scenario16,124.909607,GPT-4o-mini
114,GROUP_006,215,2026-08-01 13:07:45,imclerkship,scenario2,123.567833,HAL
113,GROUP_006,214,2026-07-31 13:42:55,act,scenario8,520.128477,GPT-4o-mini
113,GROUP_006,213,2026-07-31 13:30:20,imclerkship,scenario1,276.150958,HAL
112,GROUP_006,212,2026-07-30 19:14:06,act,scenario17,240.283078,GPT-4o-mini
112,GROUP_006,211,2026-07-30 19:05:52,imclerkship,scenario2,347.119841,GPT-4o-mini
112,GROUP_006,210,2026-07-30 18:59:06,dental,scenario3,233.44342,HAL
111,GROUP_006,209,2026-07-30 18:49:25,act,scenario8,265.297366,GPT-4o-mini
110,GROUP_006,208,2026-07-30 18:47:42,act,scenario19,578.834689,HAL
111,GROUP_006,207,2026-07-30 18:43:52,imclerkship,scenario1,346.057914,HAL
110,GROUP_006,206,2026-07-30 18:34:43,imclerkship,scenario1,273.785417,GPT-4o-mini
109,GROUP_006,205,2026-07-30 18:15:26,act,scenario8,258.515164,HAL
109,GROUP_006,204,2026-07-30 18:08:08,imclerkship,scenario1,218.494069,GPT-4o-mini
107,GROUP_006,203,2026-07-30 16:31:36,act,scenario8,240.272915,HAL
107,GROUP_006,202,2026-07-30 16:25:11,imclerkship,scenario1,286.006555,GPT-4o-mini
106,GROUP_005,201,2026-07-30 14:14:03,imclerkship,scenario1,291.481687,HAL
106,GROUP_005,200,2026-07-30 14:03:52,act,scenario8,353.192401,GPT-4o-mini
105,GROUP_005,199,2026-07-30 08:23:49,act,scenario8,190.329133,HAL
105,GROUP_005,198,2026-07-30 08:18:33,act,scenario8,115.714467,HAL
105,GROUP_005,197,2026-07-30 08:10:23,imclerkship,scenario1,217.668729,GPT-4o-mini
